issue_key,created
PTL-4763,2022-04-15
PTL-4764,2022-12-09
PTL-4769,2022-10-31
PTL-4773,2022-02-14
PTL-4777,2022-07-29
PTL-4779,2022-11-17
PTL-4782,2022-06-22
PTL-4784,2022-07-01
PTL-4789,2022-06-27
PTL-4790,2022-11-16
PTL-4801,2022-09-26
PTL-4802,2022-08-18
PTL-4803,2022-12-09
PTL-4808,2022-11-18
PTL-4809,2022-04-27
PTL-4813,2022-12-09
PTL-4814,2022-12-09
PTL-4815,2022-06-22
PTL-4820,2022-12-09
PTL-4828,2022-12-13
PTL-4829,2022-08-30
PTL-4838,2022-01-17
PTL-4844,2022-08-25
PTL-4846,2022-04-05
PTL-4860,2022-10-18
PTL-4864,2022-07-07
PTL-4866,2022-01-25
PTL-4868,2022-08-04
PTL-4880,2022-11-17
PTL-4883,2022-04-06
PTL-4885,2022-10-21
PTL-4889,2022-11-28
PTL-4890,2022-08-17
PTL-4892,2022-06-21
PTL-4900,2022-08-23
PTL-4902,2022-12-09
PTL-4903,2022-07-09
